Reference,Value,Quantity,MPN_or_procurement_spec,Footprint,Function,Datasheet
C11,10u 16V,1,10u 16V,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,Positive rail bulk; positive lead to+5V,
C12,10u 16V,1,10u 16V,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,Negative rail bulk; positive lead toAGND,
TP1,TIA,1,TIA,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Low impedance measurement only,
TP2,ADC_DRIVE,1,ADC_DRIVE,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Low impedance measurement only,
TP3,VMID,1,VMID,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Low impedance measurement only,
TP4,AGND,1,AGND,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Low impedance measurement only,
H1,M3,1,M3,MountingHole:MountingHole_3.2mm_M3,Unplated mounting hole; insulating standoff,
H2,M3,1,M3,MountingHole:MountingHole_3.2mm_M3,Unplated mounting hole; insulating standoff,
H3,M3,1,M3,MountingHole:MountingHole_3.2mm_M3,Unplated mounting hole; insulating standoff,
H4,M3,1,M3,MountingHole:MountingHole_3.2mm_M3,Unplated mounting hole; insulating standoff,
J4,CHAMBER / OUTER SHIELD,1,CHAMBER / OUTER SHIELD,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,"Chamber, enclosure, outer shield; never FCOM",
J2,12/24V DC INPUT,1,12/24V DC INPUT,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1: positive regulated 9-30 V DC; 2: return. Current-limited source; no mains input.,
F1,1A FAST / 125V,1,0451001.MRL,Fuse:Fuse_Littelfuse-NANO2-451_453,Input wiring/fault fuse; verify converter and input-capacitor inrush against time-current and I-squared-t limits.,https://www.littelfuse.com/products/fuses-overcurrent-protection/fuses/surface-mount-fuses/nano-2-fuses/451/0451001
D100,SS36 / 60V,1,SS36-E3/57T,Diode_SMD:D_SMC,"Series reverse-input protection. Pin 1 cathode to protected input; pin 2 anode to fuse. This exact Vishay part is SMC, not SMA.",https://www.vishay.com/docs/88751/ss32.pdf
C100,4.7u 50V,1,4.7u 50V,Capacitor_SMD:C_1210_3225Metric,First buck input capacitor: direct short loop to U10 VIN/GND.,
C101,4.7u 50V,1,4.7u 50V,Capacitor_SMD:C_1210_3225Metric,Second buck input capacitor; total nominal input 9.4 uF.,
C102,100n 50V,1,100n 50V,Capacitor_SMD:C_0805_2012Metric,HF input bypass; shortest possible VIN-to-GND loop.,
C103,22u 50V,1,22u 50V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,"22 uF 50 V aluminum, body <=8 mm, leads formed to 3.5 mm pitch; connector-side input bulk. Positive at protected input.",
U10,LMR51420XF,1,LMR51420XFDDCR,Package_TO_SOT_SMD:SOT-23-6,"500 kHz forced-PWM synchronous buck, 4.5-36 V operating. 9-30 V regulated input is the board limit; no automotive surge qualification.",https://www.ti.com/lit/ds/symlink/lmr51420.pdf
L100,10uH / 12A Isat,1,SRP1038A-100M,Integrated:Bourns_SRP1038A,"10 uH, 7.5 A RMS, 12 A Isat, 30 mOhm max. Isat exceeds 5.1 A maximum buck current-limit threshold. Nonpolar.",https://www.bourns.com/docs/product-datasheets/srp1038a.pdf
C104,22u 25V,1,22u 25V,Capacitor_SMD:C_1210_3225Metric,X7R; verify effective capacitance at operating voltage,
C105,22u 25V,1,22u 25V,Capacitor_SMD:C_1210_3225Metric,X7R; verify effective capacitance at operating voltage,
C106,100n 25V,1,100n 25V,Capacitor_SMD:C_0805_2012Metric,Bootstrap capacitor directly between U10 pin 6 CB and pin 2 SW.,
R100,101k 0.1%,1,101k 0.1%,Resistor_SMD:R_0805_2012Metric,Buck feedback top: 0.6*(1+101/13.5) = 5.08889 V nominal. Both divider resistors must be 0.1% to preserve the reviewed module/supervisor voltage margin.,
R101,13.5k 0.1%,1,13.5k 0.1%,Resistor_SMD:R_0805_2012Metric,Buck feedback bottom; Kelvin reference to PGND at input-capacitor return.,
R102,1.00M 1%,1,1.00M 1%,Resistor_SMD:R_0805_2012Metric,"EN divider top: nominal 7.38 V rising UVLO, below accepted 9 V input after series diode.",
R103,200k 1%,1,200k 1%,Resistor_SMD:R_0805_2012Metric,EN divider bottom; about 6.6 V falling UVLO. EN cannot float.,
U11,R05P09D/P,1,R05P09D/P,Integrated:R05P09D_SIP7,"5 V to unregulated +/-9 V, 55 mA each; 1 W. Basic 250 VAC rms working isolation, 4-10 pF; 6.4 kV DC is a 1-second test only. /P gives continuous short protection.",https://www.recom-power.com/pdf/Econoline/RxxPxx.pdf
C107,1u 25V,1,1u 25V,Capacitor_SMD:C_0805_2012Metric,Local primary bypass at the isolation module input pins.,
C108,100n 25V,1,100n 25V,Capacitor_SMD:C_0805_2012Metric,HF primary bypass; does not cross the isolation barrier.,
C109,1u 25V,1,1u 25V,Capacitor_SMD:C_0805_2012Metric,X7R; verify effective capacitance at operating voltage,
C110,1u 25V,1,1u 25V,Capacitor_SMD:C_0805_2012Metric,X7R; verify effective capacitance at operating voltage,
R104,1.30k / 0.25W,1,1.30k / 0.25W,Resistor_SMD:R_1206_3216Metric,Raw positive preload >=6.23 mA at 8.1 V (>10% of 55 mA rail rating).,
R105,1.30k / 0.25W,1,1.30k / 0.25W,Resistor_SMD:R_1206_3216Metric,Raw negative preload. Validate cross-regulation with actual asymmetric load.,
R149,0R STAR BOND,1,0R STAR BOND,Resistor_SMD:R_1206_3216Metric,Intentional single-point ground bond for near-ground specimen detector. Fitted 0 ohm; omitted entirely on collector variant.,
R106,22R / 0.25W,1,22R / 0.25W,Resistor_SMD:R_1206_3216Metric,Series differential ripple filter; 22 ohm with 10 uF gives a 723 Hz nominal pole. Raw preload is before this resistor.,
C111,10u 25V,1,10u 25V,Capacitor_SMD:C_1210_3225Metric,LDO input: actual capacitance >=2.2 uF at bias. 10 uF nominal for AC performance.,
C112,100n 25V,1,100n 25V,Capacitor_SMD:C_0805_2012Metric,X7R; verify effective capacitance at operating voltage,
U12,TPS7A4901DGNR,1,TPS7A4901DGNR,Integrated:TPS7A_DGN8_TI,Quiet local rail. Pin 7 DNC and pin 3 NC left open; pin 9 exposed pad to local common; EN tied to its own input.,https://www.ti.com/lit/ds/symlink/tps7a49.pdf
C113,10u 25V,1,10u 25V,Capacitor_SMD:C_1210_3225Metric,LDO output: >=2.2 uF effective required for stability; 10 uF nominal preferred.,
C114,100n 25V,1,100n 25V,Capacitor_SMD:C_0805_2012Metric,X7R; verify effective capacitance at operating voltage,
C115,10n C0G,1,10n C0G,Capacitor_SMD:C_0805_2012Metric,Noise-reduction/soft-start capacitor at pin 6 to local common.,
C116,10n C0G,1,10n C0G,Capacitor_SMD:C_0805_2012Metric,Feed-forward capacitor across output-to-FB resistor per TI recommendation.,
R107,32.2k 0.1%,1,32.2k 0.1%,Resistor_SMD:R_0805_2012Metric,"LDO top divider; positive 32.2k/10k gives +5.0007 V, negative 32.4k/10k gives -4.98624 V using typical VFB.",
R108,10.0k 0.1%,1,10.0k 0.1%,Resistor_SMD:R_0805_2012Metric,LDO lower divider; feedback current exceeds required 5 uA.,
R109,22R / 0.25W,1,22R / 0.25W,Resistor_SMD:R_1206_3216Metric,Series differential ripple filter; 22 ohm with 10 uF gives a 723 Hz nominal pole. Raw preload is before this resistor.,
C118,10u 25V,1,10u 25V,Capacitor_SMD:C_1210_3225Metric,LDO input: actual capacitance >=2.2 uF at bias. 10 uF nominal for AC performance.,
C119,100n 25V,1,100n 25V,Capacitor_SMD:C_0805_2012Metric,X7R; verify effective capacitance at operating voltage,
U13,TPS7A3001DGNR,1,TPS7A3001DGNR,Integrated:TPS7A_DGN8_TI,Quiet local rail. Pin 7 DNC and pin 3 NC left open; pin 9 exposed pad to local common; EN tied to its own input.,https://www.ti.com/lit/ds/symlink/tps7a30.pdf
C120,10u 25V,1,10u 25V,Capacitor_SMD:C_1210_3225Metric,LDO output: >=2.2 uF effective required for stability; 10 uF nominal preferred.,
C121,100n 25V,1,100n 25V,Capacitor_SMD:C_0805_2012Metric,X7R; verify effective capacitance at operating voltage,
C122,10n C0G,1,10n C0G,Capacitor_SMD:C_0805_2012Metric,Noise-reduction/soft-start capacitor at pin 6 to local common.,
C123,10n C0G,1,10n C0G,Capacitor_SMD:C_0805_2012Metric,Feed-forward capacitor across output-to-FB resistor per TI recommendation.,
R110,32.4k 0.1%,1,32.4k 0.1%,Resistor_SMD:R_0805_2012Metric,"LDO top divider; positive 32.2k/10k gives +5.0007 V, negative 32.4k/10k gives -4.98624 V using typical VFB.",
R111,10.0k 0.1%,1,10.0k 0.1%,Resistor_SMD:R_0805_2012Metric,LDO lower divider; feedback current exceeds required 5 uA.,
