Reference,Value,Quantity,MPN_or_procurement_spec,Footprint,Function,Datasheet
TP1,TIA,1,TIA,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Low impedance measurement only,
TP2,ADC_DRIVE,1,ADC_DRIVE,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Low impedance measurement only,
TP3,VMID,1,VMID,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Low impedance measurement only,
TP4,FCOM,1,FCOM,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Low impedance measurement only,
H1,M3,1,M3,MountingHole:MountingHole_3.2mm_M3,Unplated mounting hole; insulating standoff,
H2,M3,1,M3,MountingHole:MountingHole_3.2mm_M3,Unplated mounting hole; insulating standoff,
H3,M3,1,M3,MountingHole:MountingHole_3.2mm_M3,Unplated mounting hole; insulating standoff,
H4,M3,1,M3,MountingHole:MountingHole_3.2mm_M3,Unplated mounting hole; insulating standoff,
J4,CHAMBER / OUTER SHIELD,1,CHAMBER / OUTER SHIELD,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,"Chamber, enclosure, outer shield; never FCOM",
J2,12/24V DC INPUT,1,12/24V DC INPUT,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1: positive regulated 9-30 V DC; 2: return. Current-limited source; no mains input.,
F1,1A FAST / 125V,1,0451001.MRL,Fuse:Fuse_Littelfuse-NANO2-451_453,Input wiring/fault fuse; verify converter and input-capacitor inrush against time-current and I-squared-t limits.,https://www.littelfuse.com/products/fuses-overcurrent-protection/fuses/surface-mount-fuses/nano-2-fuses/451/0451001
D100,SS36 / 60V,1,SS36-E3/57T,Diode_SMD:D_SMC,"Series reverse-input protection. Pin 1 cathode to protected input; pin 2 anode to fuse. This exact Vishay part is SMC, not SMA.",https://www.vishay.com/docs/88751/ss32.pdf
C100,4.7u 50V,1,4.7u 50V,Capacitor_SMD:C_1210_3225Metric,First buck input capacitor: direct short loop to U10 VIN/GND.,
C101,4.7u 50V,1,4.7u 50V,Capacitor_SMD:C_1210_3225Metric,Second buck input capacitor; total nominal input 9.4 uF.,
C102,100n 50V,1,100n 50V,Capacitor_SMD:C_0805_2012Metric,HF input bypass; shortest possible VIN-to-GND loop.,
C103,22u 50V,1,22u 50V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,"22 uF 50 V aluminum, body <=8 mm, leads formed to 3.5 mm pitch; connector-side input bulk. Positive at protected input.",
U10,LMR51420XF,1,LMR51420XFDDCR,Package_TO_SOT_SMD:SOT-23-6,"500 kHz forced-PWM synchronous buck, 4.5-36 V operating. 9-30 V regulated input is the board limit; no automotive surge qualification.",https://www.ti.com/lit/ds/symlink/lmr51420.pdf
L100,10uH / 12A Isat,1,SRP1038A-100M,Integrated:Bourns_SRP1038A,"10 uH, 7.5 A RMS, 12 A Isat, 30 mOhm max. Isat exceeds 5.1 A maximum buck current-limit threshold. Nonpolar.",https://www.bourns.com/docs/product-datasheets/srp1038a.pdf
C104,22u 25V,1,22u 25V,Capacitor_SMD:C_1210_3225Metric,X7R; verify effective capacitance at operating voltage,
C105,22u 25V,1,22u 25V,Capacitor_SMD:C_1210_3225Metric,X7R; verify effective capacitance at operating voltage,
C106,100n 25V,1,100n 25V,Capacitor_SMD:C_0805_2012Metric,Bootstrap capacitor directly between U10 pin 6 CB and pin 2 SW.,
R100,101k 0.1%,1,101k 0.1%,Resistor_SMD:R_0805_2012Metric,Buck feedback top: 0.6*(1+101/13.5) = 5.08889 V nominal. Both divider resistors must be 0.1% to preserve the reviewed module/supervisor voltage margin.,
R101,13.5k 0.1%,1,13.5k 0.1%,Resistor_SMD:R_0805_2012Metric,Buck feedback bottom; Kelvin reference to PGND at input-capacitor return.,
R102,1.00M 1%,1,1.00M 1%,Resistor_SMD:R_0805_2012Metric,"EN divider top: nominal 7.38 V rising UVLO, below accepted 9 V input after series diode.",
R103,200k 1%,1,200k 1%,Resistor_SMD:R_0805_2012Metric,EN divider bottom; about 6.6 V falling UVLO. EN cannot float.,
U11,R05P09D/P,1,R05P09D/P,Integrated:R05P09D_SIP7,"5 V to unregulated +/-9 V, 55 mA each; 1 W. Basic 250 VAC rms working isolation, 4-10 pF; 6.4 kV DC is a 1-second test only. /P gives continuous short protection.",https://www.recom-power.com/pdf/Econoline/RxxPxx.pdf
C107,1u 25V,1,1u 25V,Capacitor_SMD:C_0805_2012Metric,Local primary bypass at the isolation module input pins.,
C108,100n 25V,1,100n 25V,Capacitor_SMD:C_0805_2012Metric,HF primary bypass; does not cross the isolation barrier.,
C109,1u 25V,1,1u 25V,Capacitor_SMD:C_0805_2012Metric,X7R; verify effective capacitance at operating voltage,
C110,1u 25V,1,1u 25V,Capacitor_SMD:C_0805_2012Metric,X7R; verify effective capacitance at operating voltage,
R104,1.30k / 0.25W,1,1.30k / 0.25W,Resistor_SMD:R_1206_3216Metric,Raw positive preload >=6.23 mA at 8.1 V (>10% of 55 mA rail rating).,
R105,1.30k / 0.25W,1,1.30k / 0.25W,Resistor_SMD:R_1206_3216Metric,Raw negative preload. Validate cross-regulation with actual asymmetric load.,
R106,22R / 0.25W,1,22R / 0.25W,Resistor_SMD:R_1206_3216Metric,Series differential ripple filter; 22 ohm with 10 uF gives a 723 Hz nominal pole. Raw preload is before this resistor.,
C111,10u 25V,1,10u 25V,Capacitor_SMD:C_1210_3225Metric,LDO input: actual capacitance >=2.2 uF at bias. 10 uF nominal for AC performance.,
C112,100n 25V,1,100n 25V,Capacitor_SMD:C_0805_2012Metric,X7R; verify effective capacitance at operating voltage,
U12,TPS7A4901DGNR,1,TPS7A4901DGNR,Integrated:TPS7A_DGN8_TI,Quiet local rail. Pin 7 DNC and pin 3 NC left open; pin 9 exposed pad to local common; EN tied to its own input.,https://www.ti.com/lit/ds/symlink/tps7a49.pdf
C113,10u 25V,1,10u 25V,Capacitor_SMD:C_1210_3225Metric,LDO output: >=2.2 uF effective required for stability; 10 uF nominal preferred.,
C114,100n 25V,1,100n 25V,Capacitor_SMD:C_0805_2012Metric,X7R; verify effective capacitance at operating voltage,
C115,10n C0G,1,10n C0G,Capacitor_SMD:C_0805_2012Metric,Noise-reduction/soft-start capacitor at pin 6 to local common.,
C116,10n C0G,1,10n C0G,Capacitor_SMD:C_0805_2012Metric,Feed-forward capacitor across output-to-FB resistor per TI recommendation.,
R107,32.2k 0.1%,1,32.2k 0.1%,Resistor_SMD:R_0805_2012Metric,"LDO top divider; positive 32.2k/10k gives +5.0007 V, negative 32.4k/10k gives -4.98624 V using typical VFB.",
R108,10.0k 0.1%,1,10.0k 0.1%,Resistor_SMD:R_0805_2012Metric,LDO lower divider; feedback current exceeds required 5 uA.,
R109,22R / 0.25W,1,22R / 0.25W,Resistor_SMD:R_1206_3216Metric,Series differential ripple filter; 22 ohm with 10 uF gives a 723 Hz nominal pole. Raw preload is before this resistor.,
C118,10u 25V,1,10u 25V,Capacitor_SMD:C_1210_3225Metric,LDO input: actual capacitance >=2.2 uF at bias. 10 uF nominal for AC performance.,
C119,100n 25V,1,100n 25V,Capacitor_SMD:C_0805_2012Metric,X7R; verify effective capacitance at operating voltage,
U13,TPS7A3001DGNR,1,TPS7A3001DGNR,Integrated:TPS7A_DGN8_TI,Quiet local rail. Pin 7 DNC and pin 3 NC left open; pin 9 exposed pad to local common; EN tied to its own input.,https://www.ti.com/lit/ds/symlink/tps7a30.pdf
C120,10u 25V,1,10u 25V,Capacitor_SMD:C_1210_3225Metric,LDO output: >=2.2 uF effective required for stability; 10 uF nominal preferred.,
C121,100n 25V,1,100n 25V,Capacitor_SMD:C_0805_2012Metric,X7R; verify effective capacitance at operating voltage,
C122,10n C0G,1,10n C0G,Capacitor_SMD:C_0805_2012Metric,Noise-reduction/soft-start capacitor at pin 6 to local common.,
C123,10n C0G,1,10n C0G,Capacitor_SMD:C_0805_2012Metric,Feed-forward capacitor across output-to-FB resistor per TI recommendation.,
R110,32.4k 0.1%,1,32.4k 0.1%,Resistor_SMD:R_0805_2012Metric,"LDO top divider; positive 32.2k/10k gives +5.0007 V, negative 32.4k/10k gives -4.98624 V using typical VFB.",
R111,10.0k 0.1%,1,10.0k 0.1%,Resistor_SMD:R_0805_2012Metric,LDO lower divider; feedback current exceeds required 5 uA.,
U20,CA02P-5 / 0-200V,1,CA02P-5,Integrated:XP_CA02P5,"Soldered onboard regulated 0-200 V bias module. Ground-side 5 V input; grounds 3/8 internally connected; case 5 MUST be PGND, never FCOM. 5 mA full scale; command 0-2.048 V.",https://www.xppower.com/portals/0/pdfs/SF_CA_Series.pdf
U5,ATmega328P-PU,1,ATmega328P-PU,Package_DIP:DIP-28_W7.62mm,3.3 V / external 8 MHz crystal; fresh ADS1115 conversions,https://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328P-Data-Sheet-DS40002061B.pdf
U8,MCP1700-3302E/TO,1,MCP1700-3302E/TO,Package_TO_SOT_THT:TO-92_Inline,Separate digital/reference supply; not ESP32 power,
C20,1u 10V,1,1u 10V,Capacitor_SMD:C_0805_2012Metric,,
C21,1u 10V,1,1u 10V,Capacitor_SMD:C_0805_2012Metric,,
C22,100n,1,100n,Capacitor_SMD:C_0805_2012Metric,,
R20,10R,1,10R,Resistor_SMD:R_0805_2012Metric,,
C23,100n,1,100n,Capacitor_SMD:C_0805_2012Metric,,
C24,100n,1,100n,Capacitor_SMD:C_0805_2012Metric,,
R21,10k,1,10k,Resistor_SMD:R_0805_2012Metric,,
C25,18p C0G,1,18p C0G,Capacitor_SMD:C_0805_2012Metric,,
C26,18p C0G,1,18p C0G,Capacitor_SMD:C_0805_2012Metric,,
Y1,8MHz crystal,1,8MHz crystal,Crystal:Crystal_HC49-U_Vertical,External crystal; 18 pF loads must match chosen crystal CL including stray capacitance,
J5,ISOLATED ICSP,1,ISOLATED ICSP,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,Standard AVR ICSP; bias disconnected/discharged before programming,
J3,HOST UART / BIAS CONTROL,1,HOST UART / BIAS CONTROL,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,1GND 2HOST_VIOinput 3GPIO17TX 4GPIO16RX 5GPIO32HV_EN 6GPIO33PGM_RELEASE 7GPIO34FAULT_N 8GND,
U6,VO2611-X016,1,VO2611-X016,Package_DIP:DIP-8_W10.16mm,,https://www.vishay.com/docs/84732/6n137.pdf
R30,160R 1%,1,160R 1%,Resistor_SMD:R_0805_2012Metric,,
R31,47k,1,47k,Resistor_SMD:R_0805_2012Metric,,
R32,1k,1,1k,Resistor_SMD:R_0805_2012Metric,,
C30,100n,1,100n,Capacitor_SMD:C_0805_2012Metric,,
U7,VO2611-X016,1,VO2611-X016,Package_DIP:DIP-8_W10.16mm,,https://www.vishay.com/docs/84732/6n137.pdf
R33,160R 1%,1,160R 1%,Resistor_SMD:R_0805_2012Metric,,
R34,47k,1,47k,Resistor_SMD:R_0805_2012Metric,,
R35,1k,1,1k,Resistor_SMD:R_0805_2012Metric,,
C31,100n,1,100n,Capacitor_SMD:C_0805_2012Metric,,
Q202,2N7002,1,2N7002,Package_TO_SOT_SMD:SOT-23,,
Q203,MMBT3904,1,MMBT3904,Package_TO_SOT_SMD:SOT-23,,
Q204,MMBT3904,1,MMBT3904,Package_TO_SOT_SMD:SOT-23,,
R203,47k,1,47k,Resistor_SMD:R_0805_2012Metric,,
R210,100k,1,100k,Resistor_SMD:R_0805_2012Metric,,
R211,4.7k,1,4.7k,Resistor_SMD:R_0805_2012Metric,,
R212,100k,1,100k,Resistor_SMD:R_0805_2012Metric,,
R213,47k,1,47k,Resistor_SMD:R_0805_2012Metric,,
R214,10k 1%,1,10k 1%,Resistor_SMD:R_0805_2012Metric,,
R215,10k,1,10k,Resistor_SMD:R_0805_2012Metric,,
R216,100k,1,100k,Resistor_SMD:R_0805_2012Metric,,
C210,47u 10V X7R,1,GRM32ER71A476KE15L,Capacitor_SMD:C_1210_3225Metric,"47uF +/-10%, 10V X7R 1210; accept only effective C>=22uF at 2.048V and intended temperature. Effective capacitance is a procurement/bench criterion, not a guaranteed nominal value.",https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GRM32ER71A476KE15-04CA-EN_PDF_CERAMICCAPACITORSMD?lastModifiedDatetime=20260730173643
C211,100n,1,100n,Capacitor_SMD:C_0805_2012Metric,,
C212,10u 10V,1,10u 10V,Capacitor_SMD:C_0805_2012Metric,,
RV1,10k BIAS SET,1,3296W-1-103LF,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,Manual 0-2.048 V reference fraction; host controls sequenced enable and release,
U21,TLV9001IDBVR,1,TLV9001IDBVR,Package_TO_SOT_SMD:SOT-23-5,,https://www.ti.com/lit/ds/symlink/tlv9001.pdf
U22,TPS2553DBVR-1,1,TPS2553DBVR-1,Package_TO_SOT_SMD:SOT-23-6,Latched current limit; explicit EN reset,https://www.ti.com/lit/ds/symlink/tps2553-1.pdf
U23,TPS3808G50DBVR,1,TPS3808G50DBVR,Package_TO_SOT_SMD:SOT-23-6,Actual module-supply supervisor; CT100k selects180-420ms power-ready delay,https://www.ti.com/lit/ds/symlink/tps3808.pdf
R217,88.7k 1%,1,88.7k 1%,Resistor_SMD:R_0805_2012Metric,,
R218,10k,1,10k,Resistor_SMD:R_0805_2012Metric,,
R240,100k,1,100k,Resistor_SMD:R_0805_2012Metric,,
R241,10k,1,10k,Resistor_SMD:R_0805_2012Metric,,
C213,100n,1,100n,Capacitor_SMD:C_0805_2012Metric,,
C214,100n,1,100n,Capacitor_SMD:C_0805_2012Metric,,
R220,10k 1W 350V,1,PR01000101002FA100,Integrated:PR01_P10.16,Pulse-rated bias filter resistor,https://www.vishay.com/docs/28729/pr010203.pdf
R221,10k 1W 350V,1,PR01000101002FA100,Integrated:PR01_P10.16,Pulse-rated bias filter resistor,https://www.vishay.com/docs/28729/pr010203.pdf
R222,499k >=200V,1,499k >=200V,Integrated:PR01_P10.16,"Series bleeder; >=200 V each, >=0.25 W, body <=6.5x2.5mm",
R223,499k >=200V,1,499k >=200V,Integrated:PR01_P10.16,"Series bleeder; >=200 V each, >=0.25 W, body <=6.5x2.5mm",
R224,4.99M >=200V,1,4.99M >=200V,Integrated:PR01_P10.16,"Series bleeder; >=200 V each, >=0.25 W, body <=6.5x2.5mm",
R225,4.99M >=200V,1,4.99M >=200V,Integrated:PR01_P10.16,"Series bleeder; >=200 V each, >=0.25 W, body <=6.5x2.5mm",
C220,100n 400V film,1,100n 400V film,Capacitor_THT:C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4,"400 V film, 10mm pitch, body<=13x5mm",
C221,1u 400V film,1,1u 400V film,Capacitor_THT:C_Rect_L29.0mm_W11.9mm_P27.50mm_MKT,"400 V film, 27.5mm pitch, body<=29x11.9mm; about20mJ at200V",
TP20,HV_RAW,1,HV_RAW,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Rated instrument only; FCOM/HV_RAW up to200V relativePGND,
TP21,FCOM,1,FCOM,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Rated instrument only; FCOM/HV_RAW up to200V relativePGND,
TP22,HV_MON,1,HV_MON,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Rated instrument only; FCOM/HV_RAW up to200V relativePGND,
